,0,1
0,呈現,1.0
1,厲害,1.0
2,繼續,1.0
3,雖然,0.9982638888888888
4,什麼,0.9979338842975206
5,臥蠶,0.9975062344139651
6,玫瑰,0.9974489795918368
7,睫毛,0.9967197750702905
8,尤其,0.9960159362549801
9,甚至,0.9950248756218906
10,漂亮,0.9942528735632183
11,朋友,0.9924812030075187
12,建議,0.9845360824742269
13,陣子,0.984375
14,旁邊,0.973421926910299
15,非常,0.9718652309829802
16,因為,0.9686999563255204
17,希望,0.9686684073107049
18,稍微,0.96767537826685
19,顏色,0.9618997912317327
20,喜歡,0.9579063971199114
21,腮紅,0.9561053471667997
22,真的,0.9533512064343164
23,雀斑,0.952
24,所以,0.9488796457802228
25,使用,0.9420035149384886
26,另外,0.9402390438247012
27,健康,0.9351851851851852
28,知道,0.9332654100866021
29,今天,0.9322096005862953
30,應該,0.9319948186528497
31,產品,0.9266628766344513
32,東西,0.9240506329113924
33,滋潤,0.9235955056179775
34,嚴重,0.9191919191919192
35,怎麼,0.9144434222631095
36,如果,0.9120856495779288
37,趕快,0.9094650205761317
38,首先,0.9054441260744985
39,訂閱,0.9033942558746736
40,淚溝,0.8877551020408163
41,泛紅,0.8848314606741573
42,陰影,0.884
43,頻道,0.8808139534883721
44,參考,0.8780487804878049
45,任何,0.8719512195121951
46,適合,0.8633633633633634
47,興趣,0.8605442176870748
48,需要,0.8567708333333334
49,畢竟,0.8565022421524664
50,設計,0.8556701030927835
51,比較,0.8499756927564415
52,咖啡,0.848404255319149
53,均勻,0.8329764453961456
54,者是,0.8313559322033899
55,擔心,0.8251121076233184
56,已經,0.8214474379292129
57,起來,0.8213206732844195
58,沒有,0.8091816367265469
59,珠光,0.8076923076923077
60,簡單,0.7945945945945946
61,飽和,0.7906976744186046
62,存在,0.7894736842105263
63,ve,0.7845433255269321
64,夏天,0.7805755395683454
65,介紹,0.7757847533632287
66,其實,0.7742594484167518
67,辦法,0.7720848056537103
68,尤其是,0.7664701195219124
69,基本,0.7603686635944701
70,習慣,0.7544303797468355
71,屬於,0.753199268738574
72,覺得,0.7463207404035807
73,然後,0.7428408605214418
74,時候,0.7421552806168191
75,左右,0.735202492211838
76,而且,0.7316138027187173
77,範圍,0.7270471464019851
78,特別,0.7228163992869875
79,護唇,0.7224669603524229
80,目前,0.7216494845360825
81,誇張,0.7167381974248928
82,Heme,0.7049976543312084
83,控油,0.699685534591195
84,護唇膏,0.6975641094516671
85,基本上,0.6961457896941767
86,問題,0.6916488222698073
87,缺點,0.6848958333333334
88,趣的,0.6783216783216783
89,蜜粉,0.6776352481873954
90,記得,0.6775469831849654
91,等一下,0.6757638757638758
92,興趣的,0.6728845688473017
93,接下來,0.6726234413848212
94,現在,0.6716457023060797
95,搭配,0.6707202993451824
96,但是,0.6705781339439039
97,台灣,0.666030534351145
98,暗沉,0.6610644257703081
99,黑眼圈,0.6608695652173913
100,裡面,0.656657223796034
101,遮瑕,0.6557734204793029
102,綠色,0.64
103,或者是,0.6355137409661469
104,自己,0.6282051282051282
105,哈囉,0.6263736263736264
106,校色,0.6245353159851301
107,效果,0.6229061160888196
108,追蹤,0.6227758007117438
109,可以,0.6194690265486725
110,防曬,0.6185430463576159
111,auty,0.6183886065241998
112,程度,0.6152542372881356
113,冬天,0.6145454545454545
114,給大家,0.6106897046381385
115,差不多,0.6045251278516999
116,除了,0.6016949152542372
117,舒服,0.6
118,嘛所以,0.5983754512635379
119,棕色,0.596078431372549
120,閱我,0.5885714285714285
121,eauty,0.5871813531120661
122,海綿,0.5844444444444444
123,紫色,0.5843137254901961
124,啡色,0.5838509316770186
125,算是,0.5767690253671562
126,看起來,0.5746141752416345
127,直接,0.5724266418258035
128,我覺得,0.5710611889226584
129,包裝,0.5680317040951123
130,訂閱我,0.5666173651881254
131,淡淡的,0.5646332134528242
132,給你們看,0.5632002156131571
133,擦起來,0.561654425976034
134,味道,0.5598047192839707
135,常非常,0.5590329079919409
136,Hem,0.5574964814968126
137,KATE,0.5543557028135743
138,發現,0.5491228070175439
139,韓國,0.5478927203065134
140,試試看,0.5473902941586805
141,嘴唇,0.5473047304730473
142,個顏色,0.5471839322029206
143,專櫃,0.5411471321695761
144,忘記,0.5411392405063291
145,霧面,0.5400608519269777
146,另外一,0.5395262171652373
147,咖啡色,0.5388764756886547
148,蠻喜歡,0.5361402240693892
149,完之後,0.5340783450410342
150,為什麼,0.5332488917036099
151,給你們,0.532009333637517
152,支影片,0.5313245823389021
153,家分享,0.5310710567933058
154,第一,0.5304910955207771
155,明顯,0.5285002767017155
156,也可以,0.5276879740836996
157,最喜歡,0.5263881034394118
158,都可以,0.5263704358118829
159,跟大家分享,0.5262019702670064
160,關係,0.5240875912408759
161,會覺得,0.523931576308018
162,有興趣的,0.5209454467742669
163,跟大家,0.519606775525805
164,很喜歡,0.519574904232086
165,了所以,0.5162614545261931
166,了然後,0.5154004909035751
167,沒辦法,0.5152361942781104
168,都非常,0.5143948296122209
169,提亮,0.514308426073132
170,很漂亮,0.5141195006665858
171,大部分,0.5139507272187592
172,還可以,0.5139348434716213
173,全沒有,0.513764534585649
174,有沒有,0.5134953080398628
175,較容易,0.5133796401730814
176,種感覺,0.5132861745779163
177,就可以,0.5127337303513614
178,較喜歡,0.512013208836256
179,的顏色,0.5119685638340833
180,很容易,0.5114531571930675
181,那如果,0.5114435570389796
182,色然後,0.5112604671661525
183,以如果,0.5112382996482442
184,較適合,0.5109907576102634
185,了因為,0.510845383759733
186,常喜歡,0.510792006880869
187,你知道,0.5101008945877543
